Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
40,6.00,0,0.00,4.50,3,1278.79,0,0.00,0,0.00,3,1423.19,1
41,23.00,0,0.00,14.63,13,1223.63,0,0.00,0,0.00,10,2254.22,6
42,37.00,0,0.00,15.71,26,281.62,0,0.00,0,0.00,11,377.06,8
43,39.00,0,0.00,18.14,26,273.43,0,0.00,0,0.00,13,500.58,6
44,32.00,0,0.00,21.82,16,263.88,0,0.00,0,0.00,16,633.37,7
45,38.00,0,0.00,26.67,18,261.87,0,0.00,0,0.00,20,546.50,12
46,32.00,0,0.00,24.78,13,261.62,0,0.00,0,0.00,19,736.07,8
47,27.00,0,0.00,17.87,13,256.59,0,0.00,0,0.00,14,618.65,5
48,36.00,0,0.00,18.75,21,275.47,0,0.00,0,0.00,15,523.61,8
49,41.00,0,0.00,25.71,20,272.65,0,0.00,0,0.00,21,673.79,9
50,35.00,0,0.00,27.60,12,263.97,0,0.00,0,0.00,23,557.28,13
51,32.00,0,0.00,22.35,13,273.60,0,0.00,0,0.00,19,679.71,6
52,36.00,0,0.00,25.38,14,273.80,0,0.00,0,0.00,22,648.71,15
53,32.00,0,0.00,13.58,20,273.20,0,0.00,0,0.00,12,642.86,2
54,32.00,0,0.00,16.67,17,276.75,0,0.00,0,0.00,15,613.74,7
55,36.00,0,0.00,15.27,22,284.52,0,0.00,0,0.00,14,659.27,3
56,33.00,0,0.00,15.00,19,275.11,0,0.00,0,0.00,14,601.07,3
57,29.00,0,0.00,17.89,12,278.97,0,0.00,0,0.00,17,620.67,8
58,31.00,0,0.00,14.48,17,283.02,0,0.00,0,0.00,14,719.14,6
59,37.00,0,0.00,20.34,17,278.99,0,0.00,0,0.00,20,607.55,5
60,37.00,0,0.00,22.00,15,259.45,0,0.00,0,0.00,22,591.18,13
61,35.00,0,0.00,15.74,19,292.91,0,0.00,0,0.00,16,570.16,8
62,34.00,0,0.00,17.42,16,274.10,0,0.00,0,0.00,18,558.07,6
63,33.00,0,0.00,13.33,19,270.72,0,0.00,0,0.00,14,536.15,7
64,36.00,0,0.00,16.88,18,267.01,0,0.00,0,0.00,18,596.30,13
65,31.00,0,0.00,18.46,11,256.06,0,0.00,0,0.00,20,696.73,9
66,35.00,0,0.00,15.45,18,294.74,0,0.00,0,0.00,17,705.05,4
67,31.00,0,0.00,10.75,19,267.94,0,0.00,0,0.00,12,619.64,5
68,36.00,0,0.00,15.00,19,273.50,0,0.00,0,0.00,17,429.86,10
69,37.00,0,0.00,16.52,18,270.33,0,0.00,0,0.00,19,630.17,5
70,34.00,0,0.00,12.00,20,292.88,0,0.00,0,0.00,14,570.04,6
71,30.00,0,0.00,11.83,16,278.93,0,0.00,0,0.00,14,600.80,5
72,35.00,0,0.00,10.83,22,287.32,0,0.00,0,0.00,13,640.51,4
73,35.00,0,0.00,13.15,19,273.70,0,0.00,0,0.00,16,535.65,9
74,29.00,0,0.00,14.59,11,260.23,0,0.00,0,0.00,18,653.16,7
75,27.00,0,0.00,13.60,10,282.87,0,0.00,0,0.00,17,698.42,4
76,31.00,0,0.00,14.21,13,1487.36,0,0.00,0,0.00,18,1866.14,14
77,31.00,0,0.00,11.69,16,283.71,0,0.00,0,0.00,15,785.49,4
78,34.00,0,0.00,15.38,14,271.84,0,0.00,0,0.00,20,615.24,8
79,33.00,0,0.00,10.63,19,280.96,0,0.00,0,0.00,14,679.68,8
80,32.00,0,0.00,10.50,18,283.49,0,0.00,0,0.00,14,600.34,3
81,6.00,0,0.00,2.22,3,1051.02,0,0.00,0,0.00,3,962.40,0
82,16.00,0,0.00,4.39,10,1198.83,0,0.00,0,0.00,6,1613.23,4
83,24.00,0,0.00,9.40,11,344.39,0,0.00,0,0.00,13,943.20,9
84,23.00,0,0.00,7.14,13,368.47,0,0.00,0,0.00,10,903.96,1
85,29.00,0,0.00,10.59,14,339.50,0,0.00,0,0.00,15,741.72,6
86,31.00,0,0.00,13.95,11,306.03,0,0.00,0,0.00,20,679.25,8
87,28.00,0,0.00,8.97,15,294.62,0,0.00,0,0.00,13,619.87,8
88,28.00,0,0.00,10.91,12,311.88,0,0.00,0,0.00,16,709.64,7
89,32.00,0,0.00,11.46,15,290.98,0,0.00,0,0.00,17,646.75,9
90,13.00,0,0.00,4.67,6,634.18,0,0.00,0,0.00,7,1332.22,2
91,6.00,0,0.00,1.98,3,1367.95,0,0.00,0,0.00,3,1546.39,1
92,31.00,0,0.00,11.09,14,1121.54,0,0.00,0,0.00,17,1695.08,10
93,31.00,0,0.00,9.68,16,263.61,0,0.00,0,0.00,15,546.54,8
94,37.00,0,0.00,12.13,18,266.45,0,0.00,0,0.00,19,703.23,4
95,34.00,0,0.00,9.47,19,280.92,0,0.00,0,0.00,15,538.06,5
96,37.00,0,0.00,11.88,18,265.68,0,0.00,0,0.00,19,636.40,8
97,38.00,0,0.00,9.28,23,283.02,0,0.00,0,0.00,15,516.64,5
